hostname,input_index,final_class,dns_class,dns_a,dns_aaaa,dns_cname,dns_resolver_summary,https_status,https_insecure_retry,https_effective_url,https_redirect_chain,https_error,http_status,http_effective_url,http_redirect_chain,http_error,web_reason,elapsed_ms,timestamp_utc
003.su,1,01_LIVE_WEB,DNS_ALIVE,31.31.198.54,2a00:f940:2:2:1:1:0:16,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,200,True,https://003.su/,,,,,,,HTTPS_RESPONDED,3044,2026-08-26T22:15:11Z
007dom.ru,2,01_LIVE_WEB,DNS_ALIVE,172.67.184.115;104.21.19.16,2606:4700:3031::6815:1310;2606:4700:3033::ac43:b873,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,200,False,https://007dom.ru/,,,,,,,HTTPS_RESPONDED,2279,2026-08-26T22:15:10Z
007tur.ru,3,01_LIVE_WEB,DNS_ALIVE,172.67.184.45;104.21.48.109,2606:4700:3035::ac43:b82d;2606:4700:3033::6815:306d,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,200,False,https://007tur.ru/,,,,,,,HTTPS_RESPONDED,1982,2026-08-26T22:15:10Z
00news.ru,4,03_NXDOMAIN_DEAD,NXDOMAIN_CONFIRMED,,,,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN,,False,,,,,,,,,508,2026-08-26T22:15:08Z
01-klinika-21.ru,5,01_LIVE_WEB,DNS_ALIVE,104.21.63.183;172.67.171.155,,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,403,False,https://01-klinika-21.ru/,,,,,,,HTTPS_RESPONDED,794,2026-08-26T22:15:08Z
0196.ru,6,02_DNS_ALIVE_WEB_DEAD,DNS_ALIVE,38.244.143.218,,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,,False,https://0196.ru/,,ConnectionTimeoutError: Connection timeout to host https://0196.ru/,,http://0196.ru/,,ConnectionTimeoutError: Connection timeout to host http://0196.ru/,NO_HTTP_OR_HTTPS_RESPONSE,6512,2026-08-26T22:15:14Z
01tg.ru,7,03_NXDOMAIN_DEAD,NXDOMAIN_CONFIRMED,,,,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN,,False,,,,,,,,,509,2026-08-26T22:15:08Z
0368.ru,8,01_LIVE_WEB,DNS_ALIVE,172.67.203.174;104.21.44.204,2606:4700:3034::ac43:cbae;2606:4700:3031::6815:2ccc,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,200,False,https://0368.ru/,,,,,,,HTTPS_RESPONDED,859,2026-08-26T22:15:08Z
05070.ru,9,03_NXDOMAIN_DEAD,NXDOMAIN_CONFIRMED,,,,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN,,False,,,,,,,,,510,2026-08-26T22:15:08Z
05gb1.ru,10,01_LIVE_WEB,DNS_ALIVE,104.21.92.37;172.67.186.15,2606:4700:3030::ac43:ba0f;2606:4700:3033::6815:5c25,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,200,False,https://05gb1.ru/,,,,,,,HTTPS_RESPONDED,1658,2026-08-26T22:15:09Z
086y-spr1.ru,11,02_DNS_ALIVE_WEB_DEAD,DNS_ALIVE,95.217.200.32,,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,,False,https://086y-spr1.ru/,,ConnectionTimeoutError: Connection timeout to host https://086y-spr1.ru/,,http://086y-spr1.ru/,,ConnectionTimeoutError: Connection timeout to host http://086y-spr1.ru/,NO_HTTP_OR_HTTPS_RESPONSE,6256,2026-08-26T22:15:14Z
09456.ru,12,01_LIVE_WEB,DNS_ALIVE,104.21.44.43;172.67.194.207,2606:4700:3037::6815:2c2b;2606:4700:3030::ac43:c2cf,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,403,False,https://09456.ru/,,,,,,,HTTPS_RESPONDED,1834,2026-08-26T22:15:09Z
09sosh11.ru,13,02_DNS_ALIVE_WEB_DEAD,DNS_ALIVE,176.97.65.124,,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,,False,https://09sosh11.ru/,,ConnectionTimeoutError: Connection timeout to host https://09sosh11.ru/,,http://09sosh11.ru/,,ConnectionTimeoutError: Connection timeout to host http://09sosh11.ru/,NO_HTTP_OR_HTTPS_RESPONSE,6969,2026-08-26T22:15:15Z
0chna.ru,14,03_NXDOMAIN_DEAD,NXDOMAIN_CONFIRMED,,,,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN,,False,,,,,,,,,691,2026-08-26T22:15:08Z
0xota.ru,15,01_LIVE_WEB,DNS_ALIVE,31.220.83.215,,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,200,True,https://0xota.ru/,,,,,,,HTTPS_RESPONDED,2205,2026-08-26T22:15:10Z
1-dar.ru,16,03_NXDOMAIN_DEAD,NXDOMAIN_CONFIRMED,,,,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN,,False,,,,,,,,,279,2026-08-26T22:15:08Z
1-lenta.ru,17,01_LIVE_WEB,DNS_ALIVE,172.67.131.117;104.21.10.112,,,cloudflare=ALIVE;google=ALIVE;quad9=ALIVE,403,False,https://1-lenta.ru/,,,,,,,HTTPS_RESPONDED,771,2026-08-26T22:15:08Z
