hostname,input_index,final_class,reason,recursive_summary,zone,authoritative_ns,authoritative_summary,elapsed_ms,timestamp_utc
mirkmf.ru,1,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,2377,2026-08-27T12:25:09Z
pro-mnogoe.ru,2,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,5003,2026-08-27T12:25:12Z
satka5.ru,3,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,3369,2026-08-27T12:25:14Z
satodom.ru,4,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,4140,2026-08-27T12:25:17Z
saufaus.ru,5,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,3444,2026-08-27T12:25:19Z
sauna-holidaypark.ru,6,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,3573,2026-08-27T12:25:22Z
savarae0.ru,7,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,3430,2026-08-27T12:25:24Z
self-kupalnik.ru,8,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,5525,2026-08-27T12:25:29Z
sellary.ru,9,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,2050,2026-08-27T12:25:27Z
sellector.su,10,01_CONFIRMED_NXDOMAIN,AUTHORITATIVE_NXDOMAIN_6_NS,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN;opendns=NXDOMAIN,su,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NXDOMAIN/AA=1;b.dns.ripn.net@194.85.252.62=NXDOMAIN/AA=1;c.tld-servers.ru@194.190.122.17=NXDOMAIN/AA=1;d.dns.ripn.net@194.190.124.17=NXDOMAIN/AA=1;e.dns.ripn.net@193.232.142.17=NXDOMAIN/AA=1;f.dns.ripn.net@193.232.156.17=NXDOMAIN/AA=1,3463,2026-08-27T12:25:33Z
